,P_0,K_r12,K_d,K_dd,K_g,h_init,misfit,D_mean,RMSD,NA_iter
34,2.7710825e-06,3.436465e-06,0.0006838926,0.00568262,0.09400894,0.5455939000000001,-2.2367546925,0.27687424117820486,0.34898342042047414,0.0
35,2.2335645e-05,1.953591e-06,0.0002728926,0.02241622,0.01737296,1.7630419999999998,-2.8622106017,0.23483359481686183,0.1987528358698019,0.0
36,4.0486e-07,3.5078559999999995e-07,0.004070734,0.008451452,0.009453247,1.635469,-2.9881575648000003,0.18044150003344198,0.29450935878107243,0.0
37,5.616725e-06,0.0003841437,0.0002307006,0.34634309999999996,0.0033445959999999996,2.869303,-1.6493496297999999,0.3632054917715823,0.4509031222883231,0.0
38,1.6331315e-06,2.1711850000000003e-06,0.01699229,0.08758351,0.06771438,1.9877740000000002,-1.734113738,0.5261560951833295,0.3345888812516764,0.0
39,5.4547775e-06,8.573465e-06,0.0003814861,0.0006681066,0.04502185,0.1284117,-2.8704627054,0.21516789981339843,0.24009959009004664,0.0
40,9.778960000000001e-06,1.978582e-06,0.001276313,0.004101833,0.7773346,0.1972202,-2.3407681372,0.27249417788828856,0.31343702186627287,0.0
42,2.92015e-06,1.560486e-05,0.002185327,0.02942003,0.1230537,0.19670320000000002,-1.6140793003,0.38953107463038034,0.44770622293195056,0.0
43,2.8766424999999998e-05,1.630706e-07,0.02001317,0.02593686,0.26680479999999995,1.203681,-3.9446909266000003,0.1977959618247092,0.10042191699917115,0.0
45,1.50674475e-05,4.502873e-06,0.0005317373,0.01171595,0.0016477129999999999,1.4724540000000002,-2.4350531151,0.2781767114009588,0.2627628609881987,0.0
46,3.2477224999999996e-05,0.00015130700000000002,0.01310975,0.002137017,0.28926209999999997,2.343386,-4.0306254391000005,0.22283691689281349,0.07544141662696574,0.0
47,4.73032e-06,4.578892e-05,0.00978825,0.0037511959999999996,0.01443914,0.9629732,-2.3407334067,0.3335810082213945,0.29474682699689647,0.0
48,7.656522499999999e-07,7.392054e-05,0.005877995,0.14891279999999998,0.001248625,2.399043,-1.4763503241,0.5836428772863056,0.3887956841123091,0.0
49,1.64007075e-06,2.710664e-07,0.03531627,0.03266316,0.01237067,1.012191,-2.1754377484,0.4304216926352053,0.2651109465248152,0.0
50,6.772135e-07,3.0371459999999996e-05,0.003367176,0.001983546,0.01751462,0.557198,-1.8564211821,0.395459271295453,0.40702488583896,0.0
52,8.402397500000001e-06,5.777895999999999e-06,0.0022775670000000003,0.0490365,0.0006498385,2.458491,-3.0994926938,0.22616050293176834,0.19650780395719256,0.0
53,6.5322075e-06,2.856945e-06,0.0002434266,0.00114681,0.01639363,1.26058,-2.3829913363,0.27551592917183637,0.29340497771095914,0.0
56,1.1290637500000001e-05,4.40366e-06,0.0003278089,0.01270159,0.00143433,2.093593,-2.4978071906,0.2588328895692436,0.2646206134741083,0.0
57,2.6782075e-06,6.680231e-06,0.02113069,0.001714421,0.7743992,1.888061,-1.8877323166,0.516053812190772,0.2933212011264757,0.0
61,0.000178291,0.00012089159999999999,0.03771218,0.2531168,0.01510296,0.15375229999999998,-3.3165976178,0.21428025566267556,0.16915890718015242,0.0
63,2.6954e-07,9.264487e-06,0.0006037662,0.00356746,0.0006149571,1.7626939999999998,-2.5233107304,0.2533341285964413,0.2888637110030151,0.0
64,1.1014785000000002e-05,5.874319000000001e-07,0.01758341,0.26739,0.0009172363000000001,0.256492,-1.7812312100999999,0.42338977707069864,0.38083138392123544,0.0
65,3.9765e-07,1.92672e-05,0.0016567510000000001,0.0005888398,0.0055606380000000006,0.8120901,-2.6571595378,0.28127545709163854,0.2613649789543511,0.0
67,9.1006625e-06,4.933587e-06,0.04198946,0.10657919999999999,0.6105476,2.457057,-1.9436196985,0.44073092844278594,0.32510475222150076,0.0
68,3.47133e-05,2.067063e-05,0.0312027,0.2861785,0.003519664,2.397184,-2.3142904987,0.32988002565666763,0.2876206442558208,0.0
70,8.0845525e-06,4.071689e-05,0.0025869779999999998,0.0208651,0.01628634,1.837677,-2.8002892743,0.22792513931369193,0.25995272027971433,0.0
71,6.0775050000000004e-05,0.0001378552,0.02846425,0.006838453,0.04554479,2.922359,-2.6872903874,0.2590789758658223,0.24546852147899423,0.0
72,1.60724175e-06,2.285897e-05,0.04146146,0.004599842,0.1191221,1.0614139999999999,-2.0541902827,0.5413956775189159,0.23534957598538056,0.0
73,7.073375e-06,1.041237e-07,0.03301251,0.02823088,0.0007490692999999999,2.271057,-2.9979720275,0.2518643929438637,0.20035552796361375,0.0
74,7.389450000000001e-06,4.209203e-05,0.007407975,0.005243219,0.3612422,1.4991860000000001,-2.1039483323,0.3632820279508009,0.3161710544672194,0.0
75,1.3233665e-06,2.240325e-07,0.01077169,0.05241408,0.1273089,2.8547540000000002,-1.7691787156999998,0.491018920461849,0.3454218460545647,0.0
77,3.249945e-06,3.9024670000000004e-05,0.00018130540000000001,0.002549955,0.06983737,1.926025,-2.584688237,0.22642396668090015,0.3436469501114238,0.0
80,8.2941175e-05,4.816357999999999e-07,0.00022406740000000002,0.12655439999999998,0.7812755,2.206907,-3.2631521426,0.2519877646924663,0.1293002011999727,0.0
81,4.0668725e-05,1.390247e-05,0.0001716025,0.49127029999999994,0.005028363,1.736176,-2.1935357468,0.3492370467603036,0.3020354844733867,0.0
82,6.369612499999999e-06,8.095581e-07,0.02064389,0.11087830000000001,0.006932963,2.580413,-1.9578141885,0.43036228225933926,0.32614485872725085,0.0
83,1.7554554999999996e-05,2.8069970000000002e-05,0.0001049742,0.09237919,0.008312525,0.45031270000000007,-2.8127043333999997,0.24812225610012018,0.2319348035922346,0.0
85,5.440187499999999e-07,5.432116e-05,0.03581214,0.03750627,0.1230421,1.092641,-1.7461402846,0.6827064231477165,0.2562788719824235,0.0
87,6.481695e-06,6.682251e-06,0.005745814,0.0290954,0.03364222,2.065963,-3.0145420880000002,0.2495963264783662,0.19632835784619457,0.0
88,7.03881e-07,5.083072e-07,0.01787856,0.02403888,0.1225502,1.645488,-1.8644219197,0.4981214169868202,0.3073273946342946,0.0
90,3.5468474999999997e-07,3.929473e-06,0.02455765,0.0020330929999999997,0.0006505845,0.950918,-2.7130438858,0.29131860605721427,0.22960452790778846,0.0
91,1.94582675e-05,9.380499e-06,0.005768451,0.3511671,0.005751806999999999,0.4368579000000001,-1.9439519643,0.3543151135099725,0.3666213597520587,0.0
92,3.0435275e-07,1.919709e-06,0.002740102,0.02106562,0.003277318,0.836617,-2.4608890862,0.3377359241281885,0.2537547520172054,0.0
93,1.5800620000000001e-06,1.408655e-07,0.004368637,0.01110104,0.03361878,0.7103041,-2.6316355544,0.3106226061685082,0.23102201070728828,0.0
95,5.7918275e-07,4.812219e-06,0.01172397,0.005001969,0.4163983,1.012558,-1.4687963563,0.6330896597480208,0.36324678925295184,0.0
96,2.16406875e-05,1.432214e-06,0.01070725,0.04151084,0.7706979,1.44709,-3.2113607324,0.25661568256673545,0.15757417737262164,0.0
97,5.606329999999999e-07,4.5765429999999996e-05,0.04522257,0.001814984,0.002559914,2.043914,-2.2373079813,0.35151868560720284,0.3156636816860207,0.0
98,2.3350955e-06,8.687184e-06,0.04801746,0.01023007,0.2674503,2.863039,-1.7950919713,0.49692079814268447,0.3327739149369635,0.0
100,1.4822210000000001e-05,1.4989199999999999e-06,0.01283321,0.0005460814,0.8795516999999999,2.517004,-3.0839729987,0.29055693537793764,0.15969086323023748,0.0
101,7.789785e-06,1.621733e-05,0.001758336,0.004874284,0.02356451,2.7911669999999997,-2.7220032077,0.23122559584806496,0.2784159236505402,0.0
103,5.878150000000001e-06,3.7232870000000005e-05,0.001396764,0.01593476,0.08514859,1.158895,-2.2594707208,0.27226076540696165,0.3485715946482278,0.0
104,3.76604e-05,5.479186e-05,0.000261014,0.02753123,0.5684806,1.8647779999999998,-4.3685731952,0.2658696214858601,0.0456327041950006,0.0
105,3.3576775e-06,1.036124e-05,0.02867779,0.07167505,0.005787625,0.002691738,-1.8944982294,0.49958351534191525,0.30306458238655737,0.0
106,2.74296e-05,6.235766999999999e-05,0.01611188,0.0005469458,0.07078003,0.149054,-3.7938279735000005,0.20487051082562086,0.1069478665679845,0.0
107,7.493152499999999e-07,0.00028241729999999997,0.007824538,0.45804300000000003,0.08432489,2.164698,-1.4642836343,0.6241160191327942,0.37123586781178414,0.0
108,1.6072985e-06,7.585921e-05,0.004530392,0.003334583,0.001196435,2.476783,-2.45631583,0.31739136267815304,0.2869498634935089,0.0
111,8.5770125e-06,2.9359790000000004e-07,0.0006960924000000001,0.009469714,0.3680002,0.9609440999999999,-2.57135366,0.2812345594165947,0.2599364869991099,0.0
113,3.576805e-05,1.755047e-07,0.009525573,0.15997160000000002,0.0070350659999999995,2.933581,-2.9311323786,0.2758089926683983,0.1927170160904673,0.0
116,4.7127425e-06,2.0682110000000001e-07,0.0002634191,0.06580143,0.04144467,0.9764623,-2.2781349495,0.3000893453089816,0.31517103732625623,0.0
117,0.00017013175,1.867906e-05,0.00011492459999999999,0.4438312,0.07844891,2.021209,-3.5573720005,0.24756046065654352,0.1238114266622569,0.0
119,8.265265e-05,9.269996999999999e-07,0.009617703,0.1247339,0.01374762,0.7886833000000001,-3.6558256157,0.24699003816751136,0.09914296996450844,0.0
123,4.6489e-06,6.175861999999999e-05,0.00019274680000000002,0.0006080761,0.002618245,0.3315453,-2.2487361864,0.2790144722391836,0.37332401561945283,0.0
124,4.170155e-05,5.536387e-07,0.0006676996000000001,0.03345734,0.0012956530000000001,1.828469,-2.6344490801,0.24579789367619784,0.2470607890052637,0.0
125,1.07415825e-05,0.0001730972,0.000115373,0.01318078,0.6909677,2.388995,-2.2987281288,0.2811272731075707,0.31166997610561303,0.0
126,2.3655032500000002e-05,4.064752e-07,0.01002517,0.0008223912,0.2370589,2.8749540000000002,-3.3713973903,0.2354810037547476,0.1350566467896098,0.0
127,2.77438e-07,9.660162000000001e-05,0.02543665,0.0015553670000000002,0.09197008,2.709006,-1.8862709197,0.45190904758593603,0.33220671878193314,0.0
128,1.4196777499999998e-05,8.213941e-06,0.01128847,0.0011831930000000001,0.11012639999999999,2.215112,-3.3946567608,0.18396424262782615,0.18391227652876635,0.0
129,2.8964575e-07,0.0003869971,0.00285335,0.008727746,0.01459285,2.1815700000000002,-1.6567711944999999,0.5052274847971933,0.3810537822749938,0.0
130,1.0830605e-06,7.923259e-05,0.04139413,0.001664736,0.0005159238,1.09702,-2.2162815038,0.4825145760602779,0.2269092769889949,0.0
131,9.445717500000001e-06,1.256259e-07,0.00020426669999999998,0.24769380000000002,0.1662013,0.6389855999999999,-1.8197532483,0.3512628972037596,0.4047792420896771,0.0
134,2.2674475e-06,0.00023914919999999998,0.000101204,0.002561316,0.04901531,2.697485,-1.9174160737000001,0.30668626427573475,0.44202541205761964,0.0
135,6.750525e-06,0.0001148858,0.0003444294,0.0008054294,0.0005203655999999999,0.6783233,-2.2356423242,0.28642154301752926,0.35276748202885483,0.0
137,2.7714349999999997e-06,3.741979e-07,0.005030781,0.04142015,0.2897551,2.3729310000000003,-1.7840477315,0.43761557059219386,0.37201753314718705,0.0
140,2.6381275e-06,4.397889e-06,0.008686518,0.01006558,0.0018008529999999998,0.47491990000000006,-2.6714829689,0.3083478559912538,0.22302925766775175,0.0
141,1.29158125e-05,0.0004907246,0.001528275,0.01920514,0.02324416,2.193639,-2.3721963649,0.28209692870722647,0.30421917078795085,0.0
142,5.9389e-07,6.951567e-05,0.008154607,0.009316366999999999,0.1862305,0.8407662,-1.2996400272,0.6285756316333265,0.4315495601688912,0.0
145,6.800332500000001e-07,3.4384179999999994e-05,0.0003903023,0.0006151902,0.001776378,1.568471,-2.6359663806,0.25746340902248066,0.290141425023726,0.0
147,6.3696625e-07,4.882993e-07,0.01571574,0.0008626274000000001,0.04695075,1.1328280000000002,-2.5607815877,0.2785324860311262,0.27667910724871947,0.0
148,2.5614825e-05,1.0389230000000001e-06,0.005625542,0.02299313,0.2043273,0.8174908000000001,-3.9209471324000003,0.22504070892323522,0.08124289246927034,0.0
150,2.6481325000000002e-05,1.0355450000000001e-05,0.01173673,0.009579919000000001,0.001482885,2.601175,-2.3419385569999998,0.25460272167590575,0.32040628306439844,0.0
152,1.217644e-05,6.713614e-06,0.001576688,0.007765854,0.9457656999999999,2.45819,-2.37322902,0.2827119685554801,0.30672612109392217,0.0
153,3.3081475e-06,1.9191679999999997e-07,0.0139612,0.01596997,0.16959870000000002,1.092309,-2.0924390081,0.4177749180998765,0.29405984707147353,0.0
154,3.13335e-06,0.0002605966,0.005285095,0.05865128,0.0007229951,0.7928423000000001,-1.5019816366999998,0.4462952595869732,0.46696188245359327,0.0
155,2.2530520000000002e-05,6.0228940000000005e-05,0.02794435,0.0008512102,0.008909966,2.6362400000000004,-3.5829419568,0.1604342220545327,0.18433689268127643,0.0
156,7.541699999999999e-06,0.0004381283,0.0001413686,0.03583436,0.009503111,0.8047486999999999,-1.7891384791999998,0.341939368275498,0.4146910547071861,0.0
157,3.37171e-05,2.35953e-05,0.01008619,0.008893111,0.0009633993,2.334589,-2.3769412593,0.2583334344133867,0.27629734642939197,0.0
158,1.52348025e-06,0.0003417533,0.004101892,0.03321628,0.008035474,1.814786,-1.4798646303,0.46582587716223667,0.4649076910885573,0.0
160,6.1256925e-05,7.277627e-06,0.03514862,0.1277172,0.6519853,1.165769,-3.6892385027,0.2176986881365306,0.12049534390499668,0.0
162,2.6249125e-07,2.39956e-07,0.01026314,0.2613533,0.009327867,2.095656,-1.6892979199,0.6732988000355685,0.2746368133412806,0.0
163,2.35726425e-06,1.8020800000000002e-07,0.0005179085,0.0006180423000000001,0.03327178,2.284753,-2.3013539881,0.22756585657219133,0.38464298226330407,0.0
164,5.7287549999999995e-06,5.152248e-07,0.0073136830000000005,0.0251079,0.0007605168,1.811306,-3.4485810024,0.19380349753023432,0.1699120738520763,0.0
165,2.5220749999999997e-05,1.3402149999999998e-05,0.03822477,0.008199318,0.005294201,0.04452389,-3.4594198383999997,0.17837113245024105,0.1901132509864276,0.0
166,4.4153399999999996e-07,0.0004583792,0.0001291821,0.0028761629999999997,0.08437848,2.996501,-1.5766382875,0.3922487950513543,0.46886557635861736,0.0
167,1.51884675e-06,1.762084e-05,0.02624412,0.161408,0.0006363246,1.163206,-1.533631336,0.6128514050965547,0.3531586279851215,0.0
168,8.7853325e-07,2.634644e-06,0.0001245582,0.02105153,0.26793059999999996,2.3031919999999997,-1.7734231632,0.32969071385698573,0.4519772531700334,0.0
169,1.3847100000000001e-06,2.819672e-05,0.01888934,0.1322089,0.3033156,1.592359,-1.5701295273,0.6077790354970082,0.3426196046107964,0.0
170,0.00015963952499999998,0.000103446,0.01126585,0.2176646,0.0565433,0.3445163,-3.2296667173,0.2152080336048554,0.17342985312837128,0.0
173,4.6071075e-06,1.12193e-06,0.0028623959999999997,0.008810963,0.04051847,1.6281809999999999,-3.3081201974,0.17450476284651428,0.22107832685486928,0.0
174,5.6257050000000005e-06,2.82021e-05,0.0004067988,0.01176513,0.002081421,0.06449337,-2.5488408234,0.23109099011008294,0.2961920018063509,0.0
175,2.9449225000000003e-06,3.679145e-05,0.01112496,0.0006465148,0.01193965,0.7355222,-2.209639766,0.3514022492408954,0.3235467853478047,0.0
176,2.6133924999999997e-06,2.605737e-05,0.0004764562,0.02254368,0.07278237,2.509753,-2.080920524,0.2895450940369751,0.39599047499524964,0.0
177,4.94841e-06,9.421948e-06,0.0018139520000000002,0.002366879,0.33739509999999995,2.606411,-2.1815748796000003,0.2855924284298196,0.36164020039001943,0.0
179,7.8692275e-05,1.011471e-05,0.0330609,0.21611509999999998,0.01173266,0.9078396000000001,-3.5161529357999997,0.26384389374239264,0.12032297385284915,0.0
181,2.1616617499999997e-05,2.1142060000000003e-05,0.0002262592,0.01675574,0.1101162,0.5430716999999999,-4.9616457039999995,0.25373305709694155,0.0272314288271553,0.0
183,3.3541724999999998e-06,8.593238000000002e-05,0.0002579323,0.0006208445,0.10671010000000002,1.191553,-1.8047418776,0.30922169979153036,0.4582964541082698,0.0
184,8.939499999999999e-07,4.626621e-06,0.0004763904,0.001606101,0.0005212999,1.47599,-2.2019749962,0.274144965017814,0.32726468977825646,0.0
187,1.1790385e-06,2.6665820000000004e-06,0.0006086769,0.004952951,0.0008251517999999999,1.612049,-2.3938273563,0.25522323723457496,0.30868385322131514,0.0
190,5.65465e-07,1.056744e-05,0.0002542809,0.0017306270000000002,0.02801208,1.591659,-3.1232588584,0.20026263862956387,0.22886018223240237,0.0
194,1.538855e-06,2.305317e-06,0.01430933,0.0009061322999999999,0.9372891999999999,1.5856860000000002,-1.6479196933000002,0.5560079037402099,0.34497300763973315,0.0
195,1.08344225e-05,3.678197e-07,0.0010145360000000001,0.02518136,0.30466570000000004,2.555566,-2.6866189044,0.28088984953897983,0.2360139682748744,0.0
196,4.6766675e-05,1.9766760000000002e-07,0.02956227,0.11648800000000001,0.0005516930999999999,2.085036,-3.5663601454,0.23898451119525135,0.12179838485792173,0.0
198,1.58614175e-06,7.051203e-06,0.0013646370000000001,0.001854926,0.08579649,0.9127784,-2.0522102052,0.3223279619644065,0.38305340835491003,0.0
199,2.512565e-07,0.0003718676,0.000295482,0.0280144,0.006434108000000001,2.03337,-1.4350361291999998,0.4746564254053192,0.47732066888859254,0.0
201,1.3444565e-06,7.361455e-06,0.00012367809999999998,0.0008552122999999999,0.16178979999999998,2.941463,-2.6793907619,0.20827314023937407,0.31992959436129603,0.0
202,1.96211125e-05,0.0002389384,0.04593646,0.003570111,0.8335384,0.10824289999999999,-2.4872002732,0.3124531028249372,0.26287572394927117,0.0
204,9.34687e-06,2.831931e-07,0.0003918572,0.40382809999999997,0.3375362,2.494112,-1.6872371989,0.37037088246855926,0.42927571442459733,0.0
205,3.874295e-07,2.182344e-05,0.00028153360000000003,0.0009199405999999999,0.04476606,2.4226520000000002,-2.8640943780000003,0.22462093600095928,0.2645131022122882,0.0
206,7.7370275e-06,9.325282e-07,0.002411751,0.1404237,0.01449413,2.530703,-2.0265663031,0.34039843467245656,0.3563905859629199,0.0
207,1.6707020000000003e-05,6.38488e-05,0.0007980496000000001,0.07276331,0.00594499,0.03297526,-2.823997098,0.2484168537046783,0.2262484151117272,0.0
209,1.276355e-05,1.8606470000000002e-07,0.0007090358000000001,0.24631279999999997,0.7193948,1.0956270000000001,-1.9223683179,0.3519809412135094,0.37622707807439704,0.0
212,1.3883425e-06,7.68391e-07,0.0031285690000000003,0.1476076,0.0008148294999999999,0.8775914,-1.4843414688999998,0.46484248509639525,0.45408154004443235,0.0
215,1.57774225e-05,1.165698e-05,0.004114467,0.0009237077000000001,0.006044749,1.832509,-2.3472944447,0.2589392315679779,0.2954127854108018,0.0
218,8.318095e-07,1.16137e-07,0.002579356,0.06371526,0.43237659999999994,2.581632,-1.4818935803,0.47962666107137625,0.4455469688366294,0.0
222,3.93411e-05,6.750997e-05,0.001151483,0.01249883,0.001365005,1.649743,-3.0318380564,0.27020757822527736,0.1383210869520386,0.0
224,4.9391625000000005e-05,1.099045e-05,0.0030494359999999996,0.03461333,0.0005306041,0.28837909999999994,-2.7336311763,0.2527480992681058,0.22223588701745137,0.0
227,9.97471e-07,4.368549e-06,0.001074681,0.04611792,0.008353619,0.5244089,-1.6627046047999998,0.39231298642414636,0.44181958414267175,0.0
228,6.8825625e-06,0.000329818,0.001612635,0.00200093,0.00272849,2.9167970000000003,-2.1917217396,0.2994830159006136,0.36195315230730263,0.0
229,7.210485000000001e-06,5.242621e-07,0.0007065083,0.0006265525,0.4355861,2.611631,-2.4343171265,0.2739744338445414,0.3030824227535695,0.0
231,1.43153775e-06,1.423846e-06,0.001143725,0.002354274,0.0016696620000000001,1.058835,-2.4242932381,0.2502786280960522,0.28226889615199974,0.0
233,1.17964025e-06,0.0001713197,0.0015075429999999999,0.1310746,0.004931325,2.330018,-1.4586967380000002,0.4449169344690945,0.4725700455343508,0.0
234,6.3551625e-07,2.9860430000000004e-06,0.01438321,0.4861712,0.1537174,0.792397,-1.2587756814,0.6576107570091304,0.43140356963287685,0.0
235,1.1712660000000001e-05,3.4161180000000003e-06,0.004026264,0.004639475,0.3262506,1.145375,-2.9556386005,0.2694885574657975,0.18833112856910678,0.0
236,1.18516975e-05,4.726411e-06,0.00042382760000000003,0.02926023,0.08844236,2.6780939999999998,-3.4656568544999997,0.22102452735184852,0.1408287710442132,0.0
238,1.7640392499999997e-05,9.569546e-06,0.01038617,0.001097822,0.23489169999999998,2.755191,-3.9760489472000002,0.18708638506196806,0.09937550768204118,0.0
239,6.047395000000001e-05,1.73954e-05,0.002448246,0.04194114,0.46633850000000004,1.3397299999999999,-3.1263787991000003,0.22998177262057468,0.16172373498090326,0.0
240,8.1198925e-05,3.198881e-05,0.0429129,0.008903124,0.002219142,2.710006,-2.3936264201,0.26685501141389995,0.29937187281786076,0.0
241,1.7828512499999998e-05,0.0001049146,0.0009010153999999999,0.003743696,0.18271489999999999,1.944495,-3.0709242473000002,0.23126864069757427,0.19287379369335897,0.0
244,2.5628200000000003e-05,2.564697e-05,0.00023808740000000003,0.03373131,0.01557198,1.994264,-4.0547232075,0.2496605372833674,0.06169567092976156,0.0
247,4.8993625e-05,5.551736e-05,0.00018496810000000002,0.33249290000000004,0.24090250000000002,0.09822211,-2.7910602245,0.2695634714314303,0.2206636163405477,0.0
255,6.477215e-06,8.328704e-06,0.04687008,0.003052848,0.01970336,2.191592,-2.8127024486,0.22250447815650878,0.26732506091613145,0.0
256,8.562069999999999e-05,0.0003584809,0.0007246342,0.03018565,0.11162269999999999,0.8053238,-2.4368026071,0.28958288753513095,0.2601005421763542,0.0
257,1.3377449999999998e-05,4.825647e-06,0.0118789,0.0005192378,0.001477785,0.9927651,-2.5239728084,0.21871021700956234,0.32499836037179236,0.0
260,3.6597575e-05,0.0002449919,0.002654091,0.433647,0.002385313,1.341525,-2.2313746852,0.3309806447577056,0.3063621301982074,0.0
262,2.6547249999999997e-07,4.707444e-07,0.0002232252,0.01797876,0.03385357,0.398215,-1.8611691375,0.3587921270788431,0.4019672942673613,0.0
263,2.5766375e-06,1.2412799999999999e-05,0.0008210292,0.0005870908,0.0008690404,0.09823982,-2.6145799535,0.22320743582252053,0.31900771188430294,0.0
265,1.524274e-06,2.912491e-06,0.0076182490000000005,0.02869652,0.0009019229,1.774183,-2.9700543496,0.29329124385193284,0.17557020004120408,0.0
268,1.0272565e-06,2.8339970000000004e-05,0.01757068,0.1256702,0.0006727603,1.736376,-1.5889424047999998,0.6152260286580225,0.33160040523567436,0.0
272,2.5747575e-07,0.000256933,0.00018336490000000002,0.002970013,0.000633599,2.119482,-1.8426734416,0.38149646234584694,0.42189959386640613,0.0
273,8.706422499999999e-07,0.0003243886,0.009390274,0.4127675,0.001250473,1.419786,-1.3520192274,0.6262797803136992,0.41188125144643745,0.0
274,2.2985654999999996e-05,8.566721999999999e-06,0.00020705740000000002,0.008595685,0.07921318,2.0287669999999998,-2.8960011419,0.24670439865196794,0.17360972096162539,0.0
276,7.9993875e-07,1.1157700000000001e-07,0.005659334,0.02226323,0.0006764286,2.6908950000000003,-3.2028382906,0.17489949660033535,0.23886083144564205,0.0
277,8.0575675e-06,1.030603e-07,0.0001030886,0.13276729999999998,0.01794247,0.2320356,-2.17425071,0.31276514309389875,0.33111290856580694,0.0
278,6.244535e-06,0.0004603515,0.0060181259999999995,0.41411329999999996,0.9876005999999999,2.008138,-1.5826283671999999,0.41945541348570814,0.44700527817669944,0.0
279,2.2345605e-06,2.49983e-05,0.00018291240000000003,0.02983401,0.002161426,0.3764201,-1.8668094832,0.30903287097421883,0.44870146607205713,0.0
280,9.2265325e-07,1.432033e-06,0.006233023000000001,0.0748139,0.0172272,1.81305,-1.657829838,0.47246147220762386,0.39858660665352064,0.0
281,6.902077499999999e-06,1.039754e-07,0.04507308,0.00653808,0.001305121,1.764743,-2.831447975,0.21544959384095794,0.28106882539003397,0.0
282,6.6117425e-06,1.2574949999999998e-07,0.04014666,0.001804679,0.01041425,0.2399596,-2.7650137294,0.2809286298872412,0.22429776689595776,0.0
287,4.6393625e-06,0.000308555,0.02273521,0.0027643529999999998,0.005129891,0.9663086999999999,-1.8457539661000002,0.48450118102031114,0.32556685571416577,0.0
290,1.3388045000000003e-05,7.227287e-05,0.001232161,0.001212433,0.7491279000000001,0.6844531999999999,-2.3678147166,0.2544688285436213,0.31327967008309593,0.0
291,2.7722725e-06,5.9912220000000005e-06,0.0009898003,0.01594613,0.01055482,1.940852,-3.3711347851999998,0.17365283356569033,0.20393940613947914,0.0
