cluster,P_0,K_r12,K_d,K_dd,K_g,h_init,misfit,D_mean,RMSD
1,4.916799707191406e-06,2.699525809518776e-06,0.0038333748869247035,0.0029114173887105233,0.0007572047810255827,0.36521645,-5.46576337045,0.20990625900306192,0.019565432986073647
2,3.188033167606615e-07,1.0774175684564555e-06,0.0013847876884128122,0.0017464763913295233,0.0038096821160196483,0.6769921722222222,-5.516525861988889,0.20469884424461465,0.019486885129139805
3,2.7919668041824615e-05,2.7305614000390277e-07,0.00022577046431692776,0.029878246712800746,0.7702527709699154,1.862791111111111,-5.489648972283334,0.24828935404701766,0.01545915651371526
4,2.857056183094647e-05,2.8732159966966152e-05,0.0013948130457295926,0.02301451941884095,0.5904016453368414,0.19127983777777768,-5.535415639833333,0.2601511688700481,0.013915419353161934
5,3.186785398417035e-05,0.00026469089888141016,0.0010404221510005743,0.00238785940545956,0.691591626699738,0.07093579250000004,-5.54269855455,0.2704152460564434,0.014603948564658948
