,P_0,K_r12,K_d,K_dd,K_g,h_init,misfit,D_mean,RMSD,cluster
2705,2.6764675000000003e-05,1.8041220000000003e-07,0.00018794470000000002,0.02839875,0.8245329,1.907358,-5.4378665625,0.2514564805528512,0.0161677170705522,3
2725,3.1293350000000003e-07,1.238369e-06,0.001774624,0.001255762,0.0024042679999999998,0.6930107,-5.4130755809,0.2117084063745033,0.020551325628738043,2
2728,2.9941649999999998e-05,1.5847470000000002e-07,0.00025499459999999997,0.03640152,0.8942146999999999,1.6681970000000002,-5.4656589166,0.2426048076198785,0.015797994315052303,3
2731,2.6221125e-05,2.173121e-07,0.00022242979999999998,0.02548245,0.7300696,1.4697040000000001,-5.4970978305,0.25268484264530444,0.015365536450883368,3
2736,2.7381525e-05,5.345941e-07,0.00018635439999999999,0.03221105,0.6925462,1.676206,-5.4678428842999995,0.24410177980608172,0.0157162284178942,3
2739,2.8997624999999997e-05,3.494144e-05,0.001073923,0.02775013,0.6079654000000001,0.1242719,-5.4239290964,0.2584675090805669,0.015294289590021002,4
2740,2.7191475000000003e-07,1.057084e-06,0.0014124460000000001,0.00180813,0.004327793,0.7018335,-5.4622902328,0.203221092755372,0.02085362723133375,2
2741,2.566575e-07,1.063446e-06,0.00145304,0.0015942520000000002,0.003912767,0.6863241999999999,-5.967766984500001,0.20565344898701454,0.012334629680230578,2
2757,3.2330125e-05,0.0002563425,0.0008949783,0.003918994,0.7846506,0.05271756,-5.5472681775999995,0.2717327744572473,0.014421881028784896,5
2759,2.6540275000000002e-05,3.04844e-05,0.001498281,0.01814162,0.4910325,0.21736039999999998,-5.4714353645000005,0.2627052503010602,0.01505544659611348,4
2761,2.7037725e-05,2.625893e-05,0.001324586,0.02068697,0.495295,0.1967527,-5.5794769007000005,0.26074147306032275,0.013520070118472957,4
2763,2.949285e-05,2.618621e-05,0.001224471,0.0246621,0.5696291,0.28586300000000003,-5.5170726474,0.25888120529971376,0.014296986688754561,4
2765,2.8102824999999996e-05,1.813554e-05,0.001989189,0.02050783,0.5671056,0.1055705,-5.468037731900001,0.26069133379423537,0.014761858238156405,4
2768,2.97215e-05,6.103054999999999e-07,0.0002951663,0.03674057,0.8180534,1.881833,-5.4166633812,0.24094250465224762,0.016705092423821694,3
2769,2.657885e-05,4.772905e-07,0.000273376,0.02825393,0.6748436999999999,1.7820209999999999,-5.4713930289,0.2469999363010022,0.015861155116303004,3
2777,2.68164e-07,8.311941000000001e-07,0.001216775,0.0022565379999999998,0.003629097,0.6635425,-5.4819012153,0.20787045153395933,0.019567525979500466,2
2784,3.49985e-07,1.195767e-06,0.0012635230000000001,0.001294857,0.004637194,0.6613244,-5.4384881839,0.2018301247628001,0.021046442877085538,2
2786,2.7430375e-05,3.146657e-05,0.001408849,0.02247158,0.4373462,0.17210129999999998,-5.5264927016,0.25795207385616065,0.013941813234777776,4
2792,2.5448975e-05,2.380657e-07,0.0002111626,0.02651707,0.6254211999999999,2.035703,-5.4235136688,0.25035105621857023,0.016404458744451914,3
2811,5.42535e-07,1.087658e-06,0.001237036,0.001061268,0.005331405,0.6650632,-5.4497490141,0.20968380986242127,0.0199090624589262,2
2816,2.7691075e-05,1.758746e-07,0.0002792013,0.02669007,0.8523108,1.887584,-5.4919530735,0.2543004121171348,0.015340930046722247,3
2817,2.9908725e-05,2.043252e-07,0.0002798614,0.02992345,0.9652753000000001,1.7933830000000002,-5.4853492777,0.25265429336976103,0.015315875691367598,3
2821,3.7666225e-07,1.279779e-06,0.0015055729999999999,0.002124623,0.0029441370000000003,0.6586219,-5.4291527197,0.1981549628417552,0.021517724075478445,2
2828,2.7427875e-05,2.952692e-07,0.0001924002,0.02874448,0.6080863000000001,2.2519,-5.5697550725,0.24699649308161487,0.014214307507698894,3
